iteration,cost,best_cost,survived_frac,mean_abs_x,mean_abs_theta,mean_abs_x_dot,mean_abs_theta_dot,mean_abs_u,settle_abs_x,settle_abs_theta,kp_theta,ki_theta,kd_theta,kp_x,ki_x,kd_x
95,1.802282,1.738527,1.0000,0.024122,0.001264,0.010642,0.001934,0.016831,0.001540,0.000003,61.429406,0.549106,18.813061,2.800000,0.027110,1.896718
96,1.740934,1.738527,1.0000,0.024106,0.001250,0.010515,0.001932,0.016749,0.000738,0.000005,61.429406,0.549106,18.813061,2.800000,0.020416,2.067408
97,1.740003,1.738527,1.0000,0.023537,0.001269,0.010670,0.001957,0.016859,0.000751,0.000001,59.722505,0.549106,18.813061,2.800000,0.020416,1.896718
98,1.744591,1.738527,1.0000,0.024190,0.001265,0.010622,0.001948,0.016808,0.000817,0.000003,60.300215,0.534358,19.257574,2.805337,0.015406,2.058269
99,1.738788,1.738527,1.0000,0.023740,0.001247,0.010504,0.001931,0.016721,0.000723,0.000003,61.429406,0.549106,18.386335,2.800000,0.020416,1.896718
100,1.750508,1.738528,1.0000,0.025629,0.001264,0.010654,0.001888,0.016741,0.000895,0.000010,61.429406,0.549106,18.813061,2.600862,0.020416,1.896718
101,1.751703,1.738528,1.0000,0.024226,0.001252,0.010543,0.001931,0.016698,0.000918,0.000003,61.429406,0.549106,18.813061,2.800000,0.014726,1.896718
102,1.738408,1.738408,1.0000,0.023754,0.001264,0.010666,0.001934,0.016776,0.000754,0.000001,61.429406,0.549106,18.813061,2.800000,0.020416,1.726028
103,1.741879,1.738408,1.0000,0.023460,0.001275,0.010733,0.001953,0.016866,0.000763,0.000002,60.106621,0.549106,18.813061,2.800000,0.020416,1.726028
104,1.746778,1.738408,1.0000,0.023768,0.001266,0.010679,0.001934,0.016793,0.000856,0.000001,61.429406,0.501574,18.813061,2.800000,0.020416,1.726028
105,1.756324,1.738408,1.0000,0.020686,0.001251,0.010472,0.002041,0.016972,0.000647,0.000002,59.707066,0.544466,17.848135,3.155976,0.019745,1.805721
106,1.738327,1.738327,1.0000,0.023825,0.001265,0.010669,0.001932,0.016775,0.000757,0.000001,61.429406,0.549106,18.813061,2.790855,0.020416,1.726028
107,1.770186,1.738327,1.0000,0.023915,0.001269,0.010700,0.001932,0.016817,0.001145,0.000002,61.429406,0.549106,18.813061,2.790855,0.024164,1.726028
108,1.739271,1.738327,1.0000,0.023775,0.001267,0.010695,0.001932,0.016785,0.000762,0.000001,61.429406,0.549106,18.813061,2.790855,0.020416,1.672496
109,1.737181,1.737181,1.0000,0.024151,0.001254,0.010600,0.001912,0.016689,0.000745,0.000002,62.880272,0.549106,18.813061,2.790855,0.020416,1.726028
110,1.737261,1.737181,1.0000,0.024185,0.001253,0.010591,0.001912,0.016679,0.000757,0.000002,62.880272,0.579332,18.813061,2.790855,0.020416,1.726028
111,1.737312,1.737181,1.0000,0.024309,0.001263,0.010671,0.001913,0.016725,0.000760,0.000002,62.880272,0.549106,19.175777,2.790855,0.020416,1.726028
112,1.785880,1.737181,1.0000,0.025141,0.001259,0.010648,0.001887,0.016700,0.001372,0.000005,63.741395,0.566887,18.984326,2.720954,0.025363,1.740170
113,1.774837,1.737181,1.0000,0.024260,0.001259,0.010634,0.001913,0.016735,0.001220,0.000002,62.880272,0.549106,18.813061,2.790855,0.024527,1.726028
114,1.738624,1.737181,1.0000,0.024281,0.001249,0.010546,0.001911,0.016681,0.000745,0.000004,62.880272,0.549106,18.813061,2.790855,0.020416,1.849351
115,1.737993,1.737181,1.0000,0.023874,0.001263,0.010658,0.001929,0.016761,0.000755,0.000001,61.647036,0.549106,18.813061,2.790855,0.020416,1.726028
116,1.741432,1.737181,1.0000,0.024160,0.001255,0.010607,0.001912,0.016697,0.000808,0.000002,62.880272,0.523414,18.813061,2.790855,0.020416,1.726028
117,1.737267,1.737181,1.0000,0.024018,0.001247,0.010539,0.001911,0.016662,0.000733,0.000002,62.880272,0.549106,18.504752,2.790855,0.020416,1.726028
118,1.745248,1.737181,1.0000,0.025376,0.001259,0.010647,0.001880,0.016674,0.000857,0.000006,62.880272,0.549106,18.813061,2.646977,0.020416,1.726028
119,1.792141,1.737181,1.0000,0.026115,0.001269,0.010730,0.001869,0.016730,0.001439,0.000010,63.331182,0.558543,19.181590,2.611930,0.024724,1.767780
120,1.737174,1.737174,1.0000,0.024050,0.001259,0.010649,0.001913,0.016702,0.000756,0.000001,62.880272,0.549106,18.813061,2.790855,0.020416,1.621203
121,1.739481,1.737174,1.0000,0.023823,0.001267,0.010700,0.001927,0.016769,0.000764,0.000002,61.855480,0.549106,18.813061,2.790855,0.020416,1.621203
122,1.737669,1.737174,1.0000,0.024079,0.001258,0.010641,0.001913,0.016693,0.000766,0.000001,62.880272,0.577699,18.813061,2.790855,0.020416,1.621203
123,1.737459,1.737174,1.0000,0.024159,0.001265,0.010698,0.001914,0.016729,0.000766,0.000001,62.880272,0.549106,19.060241,2.790855,0.020416,1.621203
